base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
UFC 232,Live on Pay-Per-View,TBA vs TBD,,2018-12-29T00:00:00Z,ANNOUNCED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FOX,TBA vs TBD,,2018-12-15T00:00:00Z,ANNOUNCED,"Milwaukee, Wisconsin",Wisconsin Entertainment and Sports Center
UFC 231,Live on Pay-Per-View,TBA vs TBD,,2018-12-08T00:00:00Z,ANNOUNCED,"Toronto, Ontario",Scotiabank Arena
UFC Fight Night,Live on FS1,TBA vs TBD,,2018-12-01T00:00:00Z,ANNOUNCED,,Adelaide Entertainment Centre
The Ultimate Fighter Finale,Live on FS1,TBA vs TBD,,2018-11-30T00:00:00Z,ANNOUNCED,"Las Vegas, Nevada",The Pearl
UFC Fight Night,Live on UFC FIGHT PASS,TBA vs TBD,,2018-11-24T00:00:00Z,ANNOUNCED,,Cadillac Arena
UFC Fight Night,Live on FS1,TBA vs TBD,,2018-11-17T00:00:00Z,ANNOUNCED,,TBA
UFC Fight Night,Live on FS1,Edgar vs. Korean Zombie,,2018-11-10T00:00:00Z,FINALIZED,"Denver, CO",Pepsi Center
UFC 230,Live on Pay-Per-View,TBA vs TBD,,2018-11-03T00:00:00Z,FINALIZED,"New York, NY",Madison Square Garden
UFC Fight Night,Live on FS1,Volkan vs Smith,,2018-10-27T00:00:00Z,FINALIZED,"Moncton, New Brunswick",Moncton Events Centre
UFC 229,Live on Pay-Per-View,Khabib vs McGregor,,2018-10-06T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FS1,Teixeira vs Manuwa,,2018-09-22T00:00:00Z,FINALIZED,,Ibirapuera Gymnasium
UFC Fight Night,Live on UFC FIGHT PASS,Hunt vs Oleinik,,2018-09-15T00:00:00Z,FINALIZED,,Olimpiysky
UFC 228,Live on Pay-Per-View,Woodley vs. Till,,2018-09-08T00:00:00Z,FINALIZED,"Dallas, Texas",American Airlines Center
UFC Fight Night,Live on FS1,Gaethje vs Vick,,2018-08-25T00:00:00Z,FINALIZED,"Lincoln, Nebraska",Pinnacle Bank Arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-08-07T00:00:00Z,FINALIZED,,
UFC 227,Live on Pay-Per-View,Dillashaw vs Garbrandt 2,,2018-08-04T00:00:00Z,FINALIZED,"Los Angeles, California",Staples Center
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-31T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FOX,Alvarez vs Poirier 2,,2018-07-28T00:00:00Z,FINALIZED,"Calgary, Alberta",Scotiabank Saddledome
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-24T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FS1,Shogun vs Smith,,2018-07-22T00:00:00Z,FINALIZED,,Barclaycard Arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-17T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FS1,Dos Santos vs Ivanov,,2018-07-14T00:00:00Z,FINALIZED,"Boise, Idaho",CenturyLink Arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-10T00:00:00Z,FINALIZED,,
UFC 226,Live on Pay-Per-View,Miocic vs Cormier,,2018-07-07T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
The Ultimate Fighter Finale,Live on FS1,Tavares vs Adesanya,,2018-07-06T00:00:00Z,FINALIZED,"Las Vegas, NV",Pearl Theatre
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-06-26T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on UFC FIGHT PASS,Cowboy vs Edwards,,2018-06-23T00:00:00Z,FINALIZED,,Singapore Indoor Stadium
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-06-19T00:00:00Z,FINALIZED,,
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-06-12T00:00:00Z,POST_EVENT,,
UFC 225,Live on Pay-Per-View,Whittaker vs Romero 2,,2018-06-09T00:00:00Z,FINALIZED,"Chicago, IL",United Center
UFC Fight Night,Live on FS1,Rivera vs Moraes,,2018-06-01T00:00:00Z,FINALIZED,"Utica, New York",Adirondack Bank Center
UFC Fight Night,Live on FS1,Thompson vs Till,,2018-05-27T00:00:00Z,POST_EVENT,,Echo Arena
UFC Fight Night,Live on FS1,Maia vs Usman,,2018-05-19T00:00:00Z,FINALIZED,,Movistar Arena
UFC 224,Live on Pay-Per-View,Nunes vs Pennington,,2018-05-12T00:00:00Z,FINALIZED,,Jeunesse Arena
UFC Fight Night,Live on FS1,Barboza vs Lee,,2018-04-21T00:00:00Z,FINALIZED,"Atlantic City, N.J.",Atlantic City Boardwalk Hall
UFC Fight Night,Live on FOX,Poirier vs Gaethje,,2018-04-14T00:00:00Z,FINALIZED,"Glendale, Arizona",Gila River Arena
UFC 223,Live on Pay-Per-View,Khabib vs Iaquinta,,2018-04-07T00:00:00Z,FINALIZED,"Brooklyn, New York",Barclays Center
UFC Fight Night,Live on UFC FIGHT PASS,Werdum vs Volkov,,2018-03-17T00:00:00Z,FINALIZED,"London, England",O2 Arena
UFC 222,Live on Pay-Per-View,Cyborg vs Kunitskaya,,2018-03-03T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FOX,Emmett vs Stephens,,2018-02-24T00:00:00Z,FINALIZED,"Orlando, FL",Amway Center
UFC Fight Night,Live on FS1,Cowboy vs Medeiros,,2018-02-18T00:00:00Z,FINALIZED,"Austin, TX",Frank Erwin Center
UFC 221,Live on Pay-Per-View,Romero vs Rockhold,,2018-02-10T00:00:00Z,FINALIZED,,Perth Arena
UFC Fight Night,Live on FS1,Machida vs. Anders,,2018-02-03T00:00:00Z,FINALIZED,,Mangueirinho Arena
UFC Fight Night,Live on FOX,Jacare vs Brunson 2,,2018-01-27T00:00:00Z,FINALIZED,"Charlotte, North Carolina",Spectrum Center
UFC 220,Live on Pay-Per-View,Miocic vs Ngannou,,2018-01-20T00:00:00Z,FINALIZED,"Boston, MA",TD Garden
UFC Fight Night,Live on FS1,Stephens vs Choi,,2018-01-14T00:00:00Z,FINALIZED,"St. Louis, Missouri",Scottrade Center
UFC 219,Live on Pay-Per-View,Cyborg vs Holm,,2017-12-30T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FOX,Lawler vs Dos Anjos,,2017-12-16T00:00:00Z,POST_EVENT,,Bell MTS Place
UFC Fight Night,Live on FS1,Swanson vs Ortega,,2017-12-09T00:00:00Z,FINALIZED,"Fresno, California",Save Mart Center
UFC 218,Live on Pay-Per-View,Holloway vs Aldo 2,,2017-12-02T00:00:00Z,FINALIZED,"Detroit, Michigan",Little Caesars Arena
The Ultimate Fighter Finale,Live on FS1,Montano vs Modafferi,,2017-12-01T00:00:00Z,FINALIZED,"Las Vegas, Nevada",Park Theatre
UFC Fight Night,Live on UFC FIGHT PASS,Bisping vs Gastelum,,2017-11-25T00:00:00Z,POST_EVENT,,Mercedes-Benz Arena
UFC Fight Night,Live on FS1,Werdum vs Tybura,,2017-11-18T00:00:00Z,FINALIZED,,Qudos Bank Arena
UFC Fight Night,Live on FS1,Poirier vs Pettis,,2017-11-11T00:00:00Z,FINALIZED,"Norfolk, Virginia",Ted Constant Convocation Center
UFC 217,Live on Pay-Per-View,Bisping vs St-Pierre,,2017-11-04T00:00:00Z,FINALIZED,"New York, NY",Madison Square Garden
UFC Fight Night,Live on FS1,Brunson vs Machida,,2017-10-28T00:00:00Z,FINALIZED,,Ginásio do Ibirapuera
UFC Fight Night,Live on UFC FIGHT PASS,Cerrone vs Till,,2017-10-21T00:00:00Z,POST_EVENT,,Ergo Arena
UFC 216,Live on Pay-Per-View,Ferguson vs. Lee,,2017-10-07T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FXX,Saint Preux vs Okami,,2017-09-22T00:00:00Z,FINALIZED,,Saitama Super Arena
UFC Fight Night,Live on FS1,Rockhold vs Branch,,2017-09-16T00:00:00Z,FINALIZED,"Pittsburgh, Pennsylvania",PPG Paints Arena
UFC 215,Live on Pay-Per-View,Nunes vs Shevchenko 2,,2017-09-09T00:00:00Z,FINALIZED,,Rogers Place
UFC Fight Night,Live on UFC FIGHT PASS,Volkov vs Struve,,2017-09-02T00:00:00Z,POST_EVENT,,Ahoy Rotterdam
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2017-08-29T00:00:00Z,FINALIZED,,
LIVE ON PAY-PER-VIEW ,Pay-Per-View,Mayweather vs McGregor,,2017-08-26T00:00:00Z,ANNOUNCED,"Las Vegas, Nevada",T-Mobile Arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2017-08-22T00:00:00Z,FINALIZED,,
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2017-08-08T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FS1,Pettis vs Moreno,,2017-08-05T00:00:00Z,FINALIZED,,Mexico City Arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2017-08-01T00:00:00Z,FINALIZED,,
UFC 214,Live on Pay-Per-View,Cormier vs Jones 2,,2017-07-29T00:00:00Z,FINALIZED,"Anaheim, CA",Honda Center
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2017-07-25T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FOX,Weidman vs Gastelum,,2017-07-22T00:00:00Z,FINALIZED,"Long Island, New York","at NYCB LIVE, home of the Nassau Veterans Memorial Coliseum"
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2017-07-18T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FS1,Nelson vs Ponzinibbio,,2017-07-16T00:00:00Z,FINALIZED,,The SSE Hydro
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2017-07-11T00:00:00Z,FINALIZED,,
UFC 213,Live on Pay-Per-View,Romero vs Whittaker,,2017-07-08T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
The Ultimate Fighter Finale,Live on FS1,Johnson vs Gaethje,,2017-07-07T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FS1,Chiesa vs Lee,,2017-06-25T00:00:00Z,FINALIZED,"Oklahoma City, OK",Chesapeake Energy Arena
UFC Fight Night,Live on UFC FIGHT PASS,Holm vs Correia,,2017-06-17T00:00:00Z,FINALIZED,,Singapore Indoor Stadium
UFC Fight Night,Live on FS1,Lewis vs Hunt,,2017-06-10T00:00:00Z,FINALIZED,,Spark Arena
UFC 212,Live on Pay-Per-View,Aldo vs Holloway,,2017-06-03T00:00:00Z,FINALIZED,,Jeunesse Arena
UFC Fight Night,Live on FS1,Gustafsson vs Teixeira,,2017-05-28T00:00:00Z,FINALIZED,,Ericsson Globe
UFC 211,Live on Pay-Per-View,Miocic vs Dos Santos 2,,2017-05-13T00:00:00Z,FINALIZED,"Dallas, Texas",American Airlines Center
UFC Fight Night,Live on FS1,Swanson vs. Lobov,,2017-04-22T00:00:00Z,FINALIZED,"Nashville, TN",Bridgestone Arena
UFC Fight Night,Live on FOX,Johnson vs Reis,,2017-04-15T00:00:00Z,FINALIZED,"Kansas City, Missouri",Sprint Center
UFC 210,Live on Pay-Per-View,Cormier vs Johnson 2,,2017-04-08T00:00:00Z,FINALIZED,"Buffalo, New York",KeyBank Center
UFC Fight Night,Live on UFC FIGHT PASS,Manuwa vs Anderson,,2017-03-18T00:00:00Z,FINALIZED,"London, England",O2 Arena
UFC Fight Night,Live on FS1,Belfort vs Gastelum,,2017-03-11T00:00:00Z,FINALIZED,,Centro de Formação Olímpica de Fortaleza
UFC 209,Live on Pay-Per-View,Woodley vs Thompson 2,,2017-03-04T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FS1,Lewis vs Browne,,2017-02-19T00:00:00Z,FINALIZED,,Scotiabank Centre
UFC 208,Live on Pay-Per-View,Holm vs de Randamie,,2017-02-11T00:00:00Z,FINALIZED,"Brooklyn, New York",Barclays Center
UFC Fight Night,Live on FS1,Bermudez vs Korean Zombie,,2017-02-04T00:00:00Z,FINALIZED,"Houston, Texas",Toyota Center
UFC Fight Night,Live on FOX,Shevchenko vs Pena,,2017-01-28T00:00:00Z,FINALIZED,"Denver, CO",Pepsi Center
UFC Fight Night,Live on FS1,Rodriguez vs Penn,,2017-01-15T00:00:00Z,FINALIZED,"Phoenix, Arizona",Talking Stick Resort Arena
UFC 207,Live on Pay-Per-View,Nunes vs Rousey,,2016-12-30T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FOX,VanZant vs Waterson,,2016-12-17T00:00:00Z,FINALIZED,"Sacramento, California",Golden 1 Center
UFC 206,Live on Pay-Per-View,Holloway vs Pettis,,2016-12-10T00:00:00Z,FINALIZED,"Toronto, Ontario",Scotiabank Arena
UFC Fight Night,Live on UFC FIGHT PASS,Lewis vs Abdurakhimov,,2016-12-09T00:00:00Z,FINALIZED,"Albany, New York",Times Union Center
The Ultimate Fighter,Live on FS1,A Tournament of Champions Finale,,2016-12-03T00:00:00Z,FINALIZED,"Las Vegas, Nevada",The Palms
UFC Fight Night,Live on FS1,Whittaker vs Brunson,,2016-11-26T00:00:00Z,FINALIZED,,Rod Laver Arena
UFC Fight Night,Live on FS1,Bader vs Nogueira 2,,2016-11-19T00:00:00Z,POST_EVENT,,Ibirapuera Gymnasium
UFC Fight Night,Live on UFC FIGHT PASS,Mousasi vs Hall 2,,2016-11-19T00:00:00Z,POST_EVENT,"Belfast, Northern Ireland",SSE Arena
UFC 205,Live on Pay-Per-View,Alvarez vs McGregor,,2016-11-12T00:00:00Z,FINALIZED,"New York, NY",Madison Square Garden
UFC Fight Night,Live on FS1,Dos Anjos vs Ferguson,,2016-11-05T00:00:00Z,FINALIZED,,Mexico City Arena
UFC 204,Live on Pay-Per-View,Bisping vs Henderson,Michael Bisping defends his middleweight bout in his home country against challenger Dan Henderson.,2016-10-08T00:00:00Z,FINALIZED,,Manchester Arena
UFC Fight Night,Live on FS1,Lineker vs Dodson,,2016-10-01T00:00:00Z,FINALIZED,"Portland, Oregon",Moda Center
UFC Fight Night,Live on FS1,Cyborg vs Lansberg,,2016-09-24T00:00:00Z,FINALIZED,,Nilson Nelson Gymnasium
UFC Fight Night,Live on FS1,Poirier vs Johnson,,2016-09-17T00:00:00Z,FINALIZED,"Hidalgo, Texas",State Farm Arena
UFC 203,Live on Pay-Per-View,Miocic vs. Overeem,Stipe Miocic defends his heavyweight belt for the first against Alistair Overeem as the UFC travels to Cleveland for the first time.,2016-09-10T00:00:00Z,FINALIZED,"Cleveland, Ohio",Quicken Loans Arena
UFC Fight Night,Live on UFC FIGHT PASS,Arlovski vs Barnett,,2016-09-03T00:00:00Z,FINALIZED,,Barclaycard Arena
UFC Fight Night,Live on FOX,Maia vs Condit,,2016-08-27T00:00:00Z,FINALIZED,"Vancouver, BC",Rogers Arena
UFC 202,Live on Pay-Per-View,Diaz vs McGregor 2,,2016-08-20T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FS1,Rodriguez vs Caceres,,2016-08-06T00:00:00Z,FINALIZED,"Salt Lake City, Utah",Vivint Smart Home Arena
UFC 201,Live on Pay-Per-View,Lawler vs. Woodley,,2016-07-30T00:00:00Z,FINALIZED,"Atlanta, GA",Philips Arena
UFC Fight Night,Live on FOX,Holm vs Shevchenko,,2016-07-23T00:00:00Z,FINALIZED,"Chicago, IL",United Center
UFC Fight Night,Live on FS1,McDonald vs Lineker,,2016-07-13T00:00:00Z,FINALIZED,"Sioux Falls, South Dakota",Denny Sanford Premier Center
UFC 200,Live on Pay-Per-View,Tate vs Nunes,,2016-07-09T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",T-Mobile Arena
The Ultimate Fighter Finale,FS1,Team Joanna vs. Team Claudia,UFC women's strawweight champion Joanna Jedrzejczyk puts her belt on the line against Claudia Gadelha in the TUF 23 Finale.,2016-07-08T00:00:00Z,FINALIZED,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,Live on UFC FIGHT PASS,Dos Anjos vs. Alvarez,The lightweight belt is on the line as Rafael dos Anjos faces Eddie Alvarez at UFC Fight Night in Las Vegas.,2016-07-07T00:00:00Z,FINALIZED,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,Live on FS1,MacDonald vs. Thompson,"UFC welterweights Rory MacDonald and Stephen Thompson square off when the UFC travels to Ottawa, Canada.",2016-06-18T00:00:00Z,FINALIZED,"Ottawa, Ontario",TD Place Arena
UFC 199,Live on Pay-Per-View,Rockhold vs. Bisping 2,UFC middleweight champion Luke Rockhold attempts to defend his belt for the first time in a rematch against Michael Bisping.,2016-06-04T00:00:00Z,FINALIZED,"Los Angeles, California",The Forum
UFC Fight Night,FS1,Almeida vs. Garbrandt,The UFC hosts a Las Vegas event headlining bantamweight contenders Thomas Almeida and Cody Garbrandt.,2016-05-29T00:00:00Z,FINALIZED,"Las Vegas, NV",Mandalay Bay Events Center
UFC 198,Live on Pay-Per-View,Werdum vs. Miocic,UFC heavyweight champion Fabricio Werdum defends his belt against Stipe Miocic.,2016-05-14T00:00:00Z,FINALIZED,,Arena Atlético Paranaense
UFC Fight Night,FS1,Overeem vs. Arlovski,"The UFC travels to Rotterdam, Netherlands for the first time where Alistair Overeem will fight in front of his home crowd against Andrei Arlovski.",2016-05-08T00:00:00Z,FINALIZED,,Ahoy Rotterdam
UFC 197,Live on Pay-Per-View,Jones vs. Saint Preux,Former light heavyweight champion Jon Jones takes on Ovince Saint Preux for the interim belt in the main event of UFC 197.,2016-04-23T00:00:00Z,FINALIZED,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,Live on FOX,Teixeira vs. Evans,"Light heavyweight contenders Glover Teixeira and Rashad Evans headline the main event at UFC Fight Night in Tampa, Florida.",2016-04-16T00:00:00Z,FINALIZED,"Tampa, Florida",Amalie Arena
UFC Fight Night,FS1,Rothwell vs. Dos Santos,"The UFC travels to Zagreb, Croatia for the first time",2016-04-10T00:00:00Z,FINALIZED,,Zagreb Arena
UFC Fight Night,Live on FS1,Hunt vs. Mir,"The UFC returns to Brisbane, Australia for the second time.",2016-03-19T00:00:00Z,FINALIZED,"Brisbane, Qld",Brisbane Entertainment Centre
UFC 196,Live on Pay-Per-View,McGregor vs. Diaz,UFC featherweight champion Conor McGregor moves up to 170 pounds to face Nate Diaz.,2016-03-05T00:00:00Z,FINALIZED,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,Live on UFC FIGHT PASS,Silva vs. Bisping,,2016-02-27T00:00:00Z,POST_EVENT,"London, England",O2 Arena
UFC Fight Night,Live on FS1,Cowboy vs. Cowboy,"The UFC returns to Pittsburgh, Pennsylvania and the Consol Energy Center for Fight Night: Cowboy vs. Cowboy.",2016-02-21T00:00:00Z,FINALIZED,"Pittsburgh, PA",CONSOL Energy Center
UFC Fight Night,Live on FS1,Hendricks vs. Thompson,UFC welterweights Johny Hendricks and Stephen Thompson clash at UFC Fight Night.,2016-02-06T00:00:00Z,FINALIZED,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,Live on FOX,Johnson vs. Bader,,2016-01-30T00:00:00Z,FINALIZED,"Newark, New Jersey",Prudential Center
UFC Fight Night,FS1,Dillashaw vs. Cruz,UFC bantamweight champion TJ Dillashaw defends his title against Dominick Cruz.,2016-01-17T00:00:00Z,FINALIZED,"Boston, MA",TD Garden
UFC 195,Live on Pay-Per-View,Lawler vs Condit,UFC welterweight champion Robbie Lawler defends her title against contender Carlos Condit,2016-01-02T00:00:00Z,FINALIZED,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,Live on FOX,dos Anjos vs Cowboy 2,,2015-12-19T00:00:00Z,FINALIZED,"Orlando, FL",Amway Center
UFC 194,Live on Pay-Per-View,Aldo vs McGregor,,2015-12-12T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
The Ultimate Fighter Finale,FOX Sports 1,Team McGregor vs Team Faber,,2015-12-11T00:00:00Z,FINALIZED,"Las Vegas, NV",The Chelsea at The Cosmopolitan 
UFC Fight Night,UFC FIGHT PASS,Namajunas vs VanZant,"Event information, results, video, and fighter information for UFC Fight Night Japan.",2015-12-10T00:00:00Z,FINALIZED,"Las Vegas, NV",The Chelsea at The Cosmopolitan 
UFC Fight Night,UFC FIGHT PASS,Henderson vs Masvidal,TBA...,2015-11-28T00:00:00Z,POST_EVENT,,Olympic Park Gymnastics Arena
UFC Fight Night,FOX Sports 1,Magny vs Gastelum,,2015-11-21T00:00:00Z,FINALIZED,,Arena Monterrey
UFC 193,Live on Pay-Per-View,Rousey vs Holm,Champ Robbie Lawler defends his welterweight title for the second time when he faces Carlos Condit.,2015-11-14T00:00:00Z,FINALIZED,,Etihad Stadium
UFC Fight Night,FS1,Belfort vs Henderson,,2015-11-07T00:00:00Z,FINALIZED,,Ibirapuera Gymnasium
UFC Fight Night,UFC FIGHT PASS,Holohan vs. Smolka,,2015-10-24T00:00:00Z,POST_EVENT,,3Arena
UFC 192,Live on Pay-Per-View,Cormier vs. Gustafsson,,2015-10-03T00:00:00Z,POST_EVENT,"Houston, Texas",Toyota Center
UFC Fight Night,FOX Sports 1,Barnett vs. Nelson,"Hard-hitting heavyweights Roy ""Big Country"" Nelson and Josh ""The Warmaster"" Barnett will battle it out in the main event at UFC Fight Night Japan.",2015-09-26T00:00:00Z,POST_EVENT,,Saitama Super Arena
UFC 191,Live on Pay-Per-View,Johnson vs. Dodson 2,Champ Demetrious Mighty Mouse' Johnson defends his flyweight championship against Jon Dodson.,2015-09-05T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,FOX Sports 1,Holloway vs. Oliveira,"Top featherweight contenders Max ""Blessed"" Holloway and Charles ""Do Bronx"" Oliveira sqaure off inside the Octagon at UFC Fight Night in Saskatoon.",2015-08-23T00:00:00Z,POST_EVENT,,SaskTel Centre
UFC Fight Night,FOX Sports 1,Teixeira vs. Saint Preux,"Light heavyweight contenders Glover Teixeira and Ovince Saint Preux will clash in the main event at UFC Fight Night in Nashville, Tennessee.",2015-08-08T00:00:00Z,POST_EVENT,"Nashville, TN",Bridgestone Arena
UFC 190,Live on Pay-Per-View,Rousey vs. Correia,"Undefeated women's bantamweight champ Ronda Rousey takes on Bethe Correia in the main event in Rio de Janeiro, Brazil.",2015-08-01T00:00:00Z,POST_EVENT,,HSBC Arena
UFC Fight Night,Live on FOX,Dillashaw vs. Barao 2,"The highly anticipated rematch between bantamweight champ TJ Dillashaw and Renan Barao will take place at the United Center in Chicago, Illinois.",2015-07-25T00:00:00Z,POST_EVENT,"Chicago, IL",United Center
UFC Fight Night,FOX Sports 1,Bisping vs. Leites,"The UFC heads to Glasgow, Scotland where middleweight contenders Michael Bisping and Thales Leites square off inside the Octagon.",2015-07-18T00:00:00Z,POST_EVENT,,The SSE Hydro
UFC Fight Night,FOX Sports 1,Mir vs. Duffee,"Heavyweight hitters Frank Mir and Todd Duffee headline in the main event at UFC Fight Night in San Diego, California.",2015-07-15T00:00:00Z,POST_EVENT,"San Diego, CA",Valley View Casino Center
The Ultimate Fighter Finale,FOX Sports 1,American Top Team vs. Blackzilians,"Welterweights Jake Ellenberger and Stephen Thompson will be headlining The Ultimate Fighter Finale in Las Vegas, Nevada.",2015-07-12T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC 189,Live on Pay-Per-View,Mendes vs. McGregor,Chad Mendes battles Conor McGregor for the interim featherweight title and welterweight champion Robbie Lawler defends his belt against Rory MacDonald,2015-07-11T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
